dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.638704,8.704643,0.000217,0.021686,1.084287,54.214341,3.140171
0.020000,53.638760,8.704643,0.000272,0.002781,-0.945258,-101.477260,3.140224
0.020000,53.638852,8.704643,0.000365,0.004634,0.092685,51.897152,3.140311
0.020000,53.638982,8.704643,0.000495,0.006488,0.092683,-0.000073,3.140433
0.020000,53.639149,8.704643,0.000662,0.008342,0.092681,-0.000104,3.140590
0.020000,53.639353,8.704642,0.000866,0.010195,0.092678,-0.000135,3.140782
0.020000,53.639594,8.704642,0.001107,0.012049,0.092675,-0.000168,3.141009
0.020000,53.639872,8.704642,0.001385,0.013902,0.092671,-0.000202,3.141270
0.020000,53.640187,8.704642,0.001700,0.015755,0.092666,-0.000238,3.141567
0.020000,53.636737,8.704642,0.005150,0.172496,7.837054,387.219392,3.141899
0.020000,53.632572,8.704640,0.009315,0.208256,1.787984,-302.453504,3.142265
0.020000,53.628011,8.704636,0.013876,0.228047,0.989525,-39.922943,3.142666
0.020000,53.623054,8.704629,0.018833,0.247852,0.990272,0.037346,3.143103
0.020000,53.617699,8.704620,0.024188,0.267768,0.995787,0.275734,3.143574
0.020000,53.611948,8.704607,0.029939,0.287533,0.988262,-0.376226,3.144080
0.020000,53.605801,8.704590,0.036086,0.307340,0.990357,0.104725,3.144622
0.020000,53.599257,8.704568,0.042630,0.327233,0.994651,0.214689,3.145198
0.020000,53.592317,8.704541,0.049570,0.346964,0.986555,-0.404769,3.145810
0.020000,53.584980,8.704508,0.056907,0.366881,0.995841,0.464305,3.146456
0.020000,53.577247,8.704468,0.064640,0.386626,0.987219,-0.431116,3.147138
0.020000,53.569118,8.704420,0.072770,0.406502,0.993805,0.329320,3.147855
0.020000,53.560593,8.704363,0.081295,0.426259,0.987885,-0.295995,3.148607
0.020000,53.551670,8.704297,0.090218,0.446143,0.994177,0.314582,3.149394
0.020000,53.542353,8.704220,0.099535,0.465858,0.985760,-0.420876,3.150217
0.020000,53.532638,8.704132,0.109251,0.485797,0.996930,0.558504,3.151074
0.020000,53.522527,8.704032,0.119361,0.505526,0.986478,-0.522570,3.151967
0.020000,53.512021,8.703918,0.129868,0.525343,0.990836,0.217876,3.152896
0.020000,53.501118,8.703790,0.140772,0.545197,0.992694,0.092920,3.153859
0.020000,53.489820,8.703645,0.152071,0.564950,0.987684,-0.250527,3.154858
0.020000,53.478126,8.703484,0.163766,0.584743,0.989634,0.097537,3.155893
0.020000,53.466035,8.703305,0.175858,0.604620,0.993837,0.210151,3.156963
0.020000,53.453549,8.703106,0.188346,0.624388,0.988423,-0.270712,3.158068
0.020000,53.440668,8.702886,0.201230,0.644164,0.988799,0.018793,3.159209
0.020000,53.427391,8.702645,0.214508,0.663947,0.989122,0.016132,3.160385
0.020000,53.413718,8.702379,0.228184,0.683777,0.991511,0.119474,3.161597
0.020000,53.399649,8.702089,0.242256,0.703593,0.990789,-0.036097,3.162845
0.020000,53.385185,8.701772,0.256723,0.723375,0.989121,-0.083398,3.164128
0.020000,53.370326,8.701428,0.271587,0.743160,0.989248,0.006331,3.165446
0.020000,53.355071,8.701053,0.286845,0.762947,0.989326,0.003912,3.166801
0.020000,53.339422,8.700648,0.302500,0.782734,0.989357,0.001547,3.168191
0.020000,53.323378,8.700210,0.318551,0.802521,0.989342,-0.000761,3.169617
0.020000,53.306938,8.699737,0.334997,0.822306,0.989282,-0.003011,3.171079
0.020000,53.290104,8.699228,0.351839,0.842090,0.989178,-0.005200,3.172576
0.020000,53.272875,8.698681,0.369076,0.861870,0.989031,-0.007326,3.174109
0.020000,53.255252,8.698093,0.386709,0.881647,0.988843,-0.009386,3.175678
0.020000,53.237235,8.697465,0.404737,0.901420,0.988616,-0.011380,3.177283
0.020000,53.218823,8.696792,0.423161,0.921187,0.988350,-0.013264,3.178924
0.020000,53.200016,8.696074,0.441982,0.941029,0.992120,0.188470,3.180601
0.020000,53.180816,8.695308,0.461197,0.960794,0.988269,-0.192525,3.182314
0.020000,53.161222,8.694493,0.480808,0.980552,0.987888,-0.019052,3.184062
0.020000,53.141235,8.693625,0.500815,1.000302,0.987475,-0.020678,3.185847
0.020000,53.120853,8.692704,0.521216,1.020094,0.989628,0.107668,3.187667
0.020000,53.100078,8.691727,0.542015,1.039911,0.990851,0.061147,3.189524
0.020000,53.078911,8.690692,0.563208,1.059643,0.986573,-0.213922,3.191416
0.020000,53.057350,8.689596,0.584796,1.079403,0.988018,0.072251,3.193344
0.020000,53.035396,8.688437,0.606780,1.099243,0.992003,0.199271,3.195309
0.020000,53.013051,8.687213,0.629159,1.118951,0.985385,-0.330903,3.197309
0.020000,52.990312,8.685921,0.651935,1.138778,0.991342,0.297864,3.199345
0.020000,52.967181,8.684560,0.675106,1.158530,0.987607,-0.186783,3.201417
0.020000,52.943659,8.683126,0.698672,1.178310,0.989007,0.070012,3.203525
0.020000,52.919744,8.681618,0.722634,1.198095,0.989265,0.012926,3.205669
0.020000,52.895438,8.680031,0.746991,1.217873,0.988876,-0.019452,3.207849
0.020000,52.870742,8.678365,0.771744,1.237643,0.988494,-0.019139,3.210064
0.020000,52.845653,8.676616,0.796893,1.257460,0.990869,0.118789,3.212316
0.020000,52.820176,8.674782,0.822437,1.277179,0.985958,-0.245578,3.214603
0.020000,52.794306,8.672860,0.848378,1.297055,0.993800,0.392090,3.216926
0.020000,52.768047,8.670847,0.874714,1.316805,0.987477,-0.316130,3.219284
0.020000,52.741399,8.668740,0.901445,1.336559,0.987700,0.011158,3.221678
0.020000,52.714360,8.666537,0.928574,1.356433,0.993734,0.301697,3.224108
0.020000,52.686932,8.664235,0.956098,1.376211,0.988875,-0.242970,3.226573
0.020000,52.659116,8.661830,0.984018,1.395993,0.989117,0.012125,3.229074
0.020000,52.630912,8.659320,1.012334,1.415788,0.989736,0.030960,3.231609
0.020000,52.602318,8.656702,1.041047,1.435643,0.992736,0.149980,3.234180
0.020000,52.573337,8.653973,1.070156,1.455468,0.991284,-0.072575,3.236786
0.020000,52.543969,8.651130,1.099662,1.475285,0.990804,-0.024006,3.239428
