dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.640214,9.767142,0.000217,0.021686,1.084287,54.214341,3.140171
0.020000,53.640214,9.767142,0.000867,0.043371,1.084287,0.000000,3.140224
0.020000,53.640214,9.767142,0.001952,0.065057,1.084287,0.000000,3.140311
0.020000,53.640214,9.767142,0.003470,0.086743,1.084287,0.000000,3.140433
0.020000,53.640214,9.767142,0.005421,0.108429,1.084287,0.000000,3.140590
0.020000,53.640214,9.767142,0.007807,0.130114,1.084287,0.000000,3.140782
0.020000,53.640214,9.767142,0.010626,0.151800,1.084287,-0.000000,3.141009
0.020000,53.640214,9.767142,0.013879,0.173486,1.084287,0.000000,3.141270
0.020000,53.640214,9.767142,0.017565,0.195172,1.084287,0.000000,3.141567
0.020000,53.636412,9.767142,0.021686,0.216857,1.084287,-0.000000,3.141899
0.020000,53.631858,9.767139,0.026240,0.238543,1.084287,0.000000,3.142265
0.020000,53.626870,9.767135,0.031227,0.260229,1.084287,-0.000000,3.142666
0.020000,53.621450,9.767128,0.036649,0.281915,1.084287,0.000000,3.143103
0.020000,53.615593,9.767118,0.042504,0.303600,1.084287,0.000000,3.143574
0.020000,53.609305,9.767104,0.048793,0.325286,1.084287,0.000000,3.144080
0.020000,53.602583,9.767085,0.055515,0.346972,1.084287,-0.000000,3.144622
0.020000,53.595426,9.767061,0.062672,0.368658,1.084287,0.000000,3.145198
0.020000,53.587837,9.767032,0.070262,0.390343,1.084287,0.000000,3.145810
0.020000,53.579812,9.766995,0.078286,0.412029,1.084287,-0.000000,3.146456
0.020000,53.571356,9.766951,0.086743,0.433715,1.084287,0.000000,3.147138
0.020000,53.562464,9.766899,0.095634,0.455400,1.084287,0.000000,3.147855
0.020000,53.553140,9.766837,0.104959,0.477086,1.084287,-0.000000,3.148607
0.020000,53.543381,9.766765,0.114718,0.498772,1.084287,0.000000,3.149394
0.020000,53.533190,9.766681,0.124910,0.520458,1.084287,0.000000,3.150217
0.020000,53.522563,9.766585,0.135536,0.542143,1.084287,-0.000000,3.151074
0.020000,53.511505,9.766475,0.146596,0.563829,1.084287,0.000000,3.151967
0.020000,53.500012,9.766350,0.158089,0.585515,1.084287,0.000000,3.152896
0.020000,53.488085,9.766210,0.170016,0.607201,1.084287,-0.000000,3.153859
0.020000,53.475726,9.766052,0.182377,0.628886,1.084287,0.000000,3.154858
0.020000,53.462933,9.765876,0.195172,0.650572,1.084287,0.000000,3.155893
0.020000,53.449705,9.765679,0.208400,0.672258,1.084287,-0.000000,3.156963
0.020000,53.436045,9.765462,0.222062,0.693944,1.084287,0.000000,3.158068
0.020000,53.421951,9.765222,0.236158,0.715629,1.084287,0.000000,3.159209
0.020000,53.407425,9.764957,0.250687,0.737315,1.084287,-0.000000,3.160385
0.020000,53.392465,9.764667,0.265650,0.759001,1.084287,0.000000,3.161597
0.020000,53.377071,9.764349,0.281047,0.780687,1.084287,0.000000,3.162845
0.020000,53.361244,9.764003,0.296878,0.802372,1.084287,-0.000000,3.164128
0.020000,53.344983,9.763625,0.313142,0.824058,1.084287,0.000000,3.165446
0.020000,53.328290,9.763216,0.329840,0.845744,1.084287,0.000000,3.166801
0.020000,53.311164,9.762772,0.346972,0.867429,1.084287,-0.000000,3.168191
0.020000,53.293606,9.762293,0.364537,0.889115,1.084287,0.000000,3.169617
0.020000,53.275614,9.761775,0.382536,0.910801,1.084287,0.000000,3.171079
0.020000,53.257189,9.761218,0.400969,0.932487,1.084287,-0.000000,3.172576
0.020000,53.238332,9.760619,0.419836,0.954172,1.084287,0.000000,3.174109
0.020000,53.219043,9.759976,0.439136,0.975858,1.084287,0.000000,3.175678
0.020000,53.199321,9.759288,0.458870,0.997544,1.084287,-0.000000,3.177283
0.020000,53.179168,9.758552,0.479038,1.019230,1.084287,0.000000,3.178924
0.020000,53.158581,9.757766,0.499639,1.040915,1.084287,0.000000,3.180601
0.020000,53.137562,9.756927,0.520675,1.062601,1.084287,0.000000,3.182314
0.020000,53.116111,9.756034,0.542143,1.084287,1.084287,-0.000000,3.184062
0.020000,53.094230,9.755085,0.564046,1.105973,1.084287,0.000000,3.185847
0.020000,53.071917,9.754077,0.586382,1.127658,1.084287,-0.000000,3.187667
0.020000,53.049171,9.753007,0.609152,1.149344,1.084287,0.000000,3.189524
0.020000,53.025995,9.751873,0.632356,1.171030,1.084287,0.000000,3.191416
0.020000,53.002389,9.750673,0.655994,1.192716,1.084287,0.000000,3.193344
0.020000,52.978350,9.749404,0.680065,1.214401,1.084287,-0.000000,3.195309
0.020000,52.953883,9.748064,0.704570,1.236087,1.084287,0.000000,3.197309
0.020000,52.928984,9.746650,0.729508,1.257773,1.084287,-0.000000,3.199345
0.020000,52.903656,9.745159,0.754880,1.279458,1.084287,0.000000,3.201417
0.020000,52.877897,9.743589,0.780687,1.301144,1.084287,0.000000,3.203525
0.020000,52.851710,9.741937,0.806926,1.322830,1.084287,0.000000,3.205669
0.020000,52.825093,9.740200,0.833600,1.344516,1.084287,-0.000000,3.207849
0.020000,52.798047,9.738376,0.860707,1.366201,1.084287,0.000000,3.210064
0.020000,52.770573,9.736460,0.888248,1.387887,1.084287,-0.000000,3.212316
0.020000,52.742671,9.734452,0.916222,1.409573,1.084287,0.000000,3.214603
0.020000,52.714340,9.732346,0.944631,1.431259,1.084287,0.000000,3.216926
0.020000,52.685583,9.730142,0.973473,1.452944,1.084287,0.000000,3.219284
0.020000,52.656399,9.727835,1.002748,1.474630,1.084287,-0.000000,3.221678
0.020000,52.626787,9.725422,1.032458,1.496316,1.084287,0.000000,3.224108
0.020000,52.596749,9.722900,1.062601,1.518002,1.084287,-0.000000,3.226573
0.020000,52.566286,9.720267,1.093178,1.539687,1.084287,0.000000,3.229074
0.020000,52.535398,9.717519,1.124189,1.561373,1.084287,0.000000,3.231609
0.020000,52.504085,9.714652,1.155633,1.583059,1.084287,0.000000,3.234180
0.020000,52.472347,9.711663,1.187511,1.604745,1.084287,-0.000000,3.236786
0.020000,52.440185,9.708549,1.219823,1.626430,1.084287,0.000000,3.239428
0.020000,52.407600,9.705307,1.252568,1.648116,1.084287,-0.000000,3.242104
0.020000,52.374593,9.701933,1.285747,1.669802,1.084287,0.000000,3.244814
0.020000,52.341164,9.698424,1.319360,1.691487,1.084287,0.000000,3.247560
0.020000,52.307314,9.694776,1.353407,1.713173,1.084287,-0.000000,3.250340
0.020000,52.273042,9.690985,1.387887,1.734859,1.084287,0.000000,3.253154
0.020000,52.238351,9.687049,1.422801,1.756545,1.084287,0.000000,3.256003
0.020000,52.203240,9.682963,1.458149,1.778230,1.084287,0.000000,3.258885
0.020000,52.167711,9.678724,1.493930,1.799916,1.084287,-0.000000,3.261801
0.020000,52.131763,9.674328,1.530146,1.821602,1.084287,0.000000,3.264752
0.020000,52.095399,9.669771,1.566794,1.843288,1.084287,-0.000000,3.267735
0.020000,52.058619,9.665051,1.603877,1.864973,1.084287,0.000000,3.270752
0.020000,52.021422,9.660162,1.641393,1.886659,1.084287,0.000000,3.273802
0.020000,51.983810,9.655101,1.679343,1.908345,1.084287,0.000000,3.276885
0.020000,51.945786,9.649865,1.717727,1.930031,1.084287,-0.000000,3.280000
0.020000,51.907349,9.644449,1.756545,1.951716,1.084287,0.000000,3.283147
0.020000,51.868498,9.638849,1.795796,1.973402,1.084287,-0.000000,3.286327
0.020000,51.829238,9.633062,1.835481,1.995088,1.084287,0.000000,3.289539
0.020000,51.789567,9.627084,1.875599,2.016774,1.084287,0.000000,3.292782
0.020000,51.749487,9.620911,1.916152,2.038459,1.084287,-0.000000,3.296056
0.020000,51.709000,9.614538,1.957138,2.060145,1.084287,0.000000,3.299361
0.020000,51.668105,9.607962,1.998557,2.081831,1.084287,0.000000,3.302697
0.020000,51.626806,9.601179,2.040411,2.103516,1.084287,0.000000,3.306063
0.020000,51.585101,9.594185,2.082698,2.125202,1.084287,0.000000,3.309459
0.020000,51.542993,9.586975,2.125419,2.146888,1.084287,0.000000,3.312884
0.020000,51.500482,9.579545,2.168574,2.168574,1.084287,-0.000000,3.316339
0.020000,51.457572,9.571893,2.212162,2.190259,1.084287,0.000000,3.319822
0.020000,51.414260,9.564012,2.256184,2.211945,1.084287,-0.000000,3.323333
0.020000,51.370551,9.555899,2.300640,2.233631,1.084287,0.000000,3.326873
0.020000,51.326445,9.547551,2.345529,2.255317,1.084287,-0.000000,3.330440
0.020000,51.281943,9.538963,2.390852,2.277002,1.084287,0.000000,3.334034
0.020000,51.237046,9.530130,2.436609,2.298688,1.084287,0.000000,3.337654
0.020000,51.191757,9.521049,2.482800,2.320374,1.084287,0.000000,3.341301
0.020000,51.146077,9.511716,2.529424,2.342060,1.084287,-0.000000,3.344973
0.020000,51.100006,9.502126,2.576482,2.363745,1.084287,0.000000,3.348671
0.020000,51.053547,9.492275,2.623974,2.385431,1.084287,0.000000,3.352393
0.020000,51.006702,9.482159,2.671900,2.407117,1.084287,0.000000,3.356138
0.020000,50.959471,9.471774,2.720259,2.428802,1.084287,-0.000000,3.359908
0.020000,50.911856,9.461116,2.769052,2.450488,1.084287,0.000000,3.363700
0.020000,50.863860,9.450181,2.818278,2.472174,1.084287,-0.000000,3.367514
0.020000,50.815483,9.438964,2.867939,2.493860,1.084287,0.000000,3.371351
0.020000,50.766727,9.427461,2.918033,2.515545,1.084287,-0.000000,3.375208
0.020000,50.717595,9.415669,2.968560,2.537231,1.084287,0.000000,3.379085
0.020000,50.668087,9.403583,3.019522,2.558917,1.084287,0.000000,3.382983
0.020000,50.618206,9.391199,3.070917,2.580603,1.084287,0.000000,3.386899
0.020000,50.567954,9.378513,3.122746,2.602288,1.084287,-0.000000,3.390834
0.020000,50.517332,9.365521,3.175009,2.623974,1.084287,0.000000,3.394787
0.020000,50.466342,9.352220,3.227705,2.645660,1.084287,0.000000,3.398757
0.020000,50.414986,9.338604,3.280835,2.667346,1.084287,-0.000000,3.402743
0.020000,50.363267,9.324671,3.334399,2.689031,1.084287,0.000000,3.406745
0.020000,50.311185,9.310416,3.388396,2.710717,1.084287,0.000000,3.410761
0.020000,50.258743,9.295835,3.442828,2.732403,1.084287,-0.000000,3.414792
0.020000,50.205943,9.280925,3.497692,2.754089,1.084287,-0.000000,3.418835
0.020000,50.152787,9.265681,3.552991,2.775774,1.084287,0.000000,3.422892
0.020000,50.099277,9.250101,3.608723,2.797460,1.084287,0.000000,3.426960
0.020000,50.045415,9.234180,3.664889,2.819146,1.084287,0.000000,3.431038
0.020000,49.991203,9.217914,3.721489,2.840831,1.084287,-0.000000,3.435127
0.020000,49.936642,9.201300,3.778523,2.862517,1.084287,0.000000,3.439225
0.020000,49.881737,9.184335,3.835990,2.884203,1.084287,-0.000000,3.443331
0.020000,49.826487,9.167014,3.893891,2.905889,1.084287,0.000000,3.447444
0.020000,49.770896,9.149334,3.952225,2.927574,1.084287,-0.000000,3.451564
0.020000,49.714966,9.131293,4.010994,2.949260,1.084287,0.000000,3.455690
0.020000,49.658698,9.112885,4.070196,2.970946,1.084287,0.000000,3.459820
0.020000,49.602096,9.094109,4.129832,2.992632,1.084287,0.000000,3.463954
0.020000,49.545160,9.074961,4.189901,3.014317,1.084287,-0.000000,3.468091
0.020000,49.487893,9.055437,4.250404,3.036003,1.084287,0.000000,3.472230
0.020000,49.430298,9.035535,4.311341,3.057689,1.084287,0.000000,3.476370
0.020000,49.372377,9.015251,4.372712,3.079375,1.084287,0.000000,3.480510
0.020000,49.314131,8.994582,4.434516,3.101060,1.084287,-0.000000,3.484648
0.020000,49.255563,8.973526,4.496754,3.122746,1.084287,0.000000,3.488785
