dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.641724,10.829641,0.000217,0.021686,1.084287,54.214341,3.140171
0.020000,53.641669,10.829641,0.000272,0.002781,-0.945258,-101.477260,3.140224
0.020000,53.641576,10.829641,0.000365,0.004634,0.092685,51.897152,3.140311
0.020000,53.641446,10.829641,0.000495,0.006488,0.092683,-0.000073,3.140433
0.020000,53.641280,10.829642,0.000662,0.008342,0.092681,-0.000104,3.140590
0.020000,53.641076,10.829642,0.000866,0.010195,0.092678,-0.000135,3.140782
0.020000,53.640835,10.829642,0.001107,0.012049,0.092675,-0.000168,3.141009
0.020000,53.640557,10.829642,0.001385,0.013902,0.092671,-0.000202,3.141270
0.020000,53.640242,10.829642,0.001700,0.015755,0.092666,-0.000238,3.141567
0.020000,53.636087,10.829641,0.005854,0.207724,9.598449,475.289125,3.141899
0.020000,53.631143,10.829639,0.010798,0.247192,1.973399,-381.252485,3.142265
0.020000,53.625729,10.829634,0.016212,0.270690,1.174881,-39.925917,3.142666
0.020000,53.619845,10.829627,0.022096,0.294207,1.175861,0.049016,3.143103
0.020000,53.613488,10.829616,0.028453,0.317857,1.182509,0.332373,3.143574
0.020000,53.606662,10.829600,0.035280,0.341331,1.173685,-0.441182,3.144080
0.020000,53.599364,10.829580,0.042577,0.364857,1.176286,0.130072,3.144622
0.020000,53.591595,10.829554,0.050347,0.388487,1.181506,0.260974,3.145198
0.020000,53.583356,10.829522,0.058585,0.411927,1.172023,-0.474119,3.145810
0.020000,53.574645,10.829483,0.067297,0.435591,1.183183,0.557967,3.146456
0.020000,53.565464,10.829435,0.076478,0.459053,1.173086,-0.504831,3.147138
0.020000,53.555810,10.829378,0.086132,0.482674,1.181052,0.398308,3.147855
0.020000,53.545687,10.829311,0.096255,0.506157,1.174174,-0.343900,3.148607
0.020000,53.535092,10.829232,0.106851,0.529793,1.181801,0.381354,3.149394
0.020000,53.524028,10.829141,0.117915,0.553233,1.171966,-0.491766,3.150217
0.020000,53.512489,10.829037,0.129454,0.576941,1.185396,0.671497,3.151074
0.020000,53.500482,10.828918,0.141462,0.600404,1.173152,-0.612181,3.151967
0.020000,53.488003,10.828782,0.153942,0.623974,1.178499,0.267336,3.152896
0.020000,53.475052,10.828630,0.166893,0.647591,1.180881,0.119108,3.153859
0.020000,53.461631,10.828458,0.180315,0.671093,1.175107,-0.288731,3.154858
0.020000,53.447740,10.828267,0.194208,0.694645,1.177602,0.124791,3.155893
0.020000,53.433375,10.828054,0.208574,0.718301,1.182776,0.258680,3.156963
0.020000,53.418541,10.827818,0.223411,0.741831,1.176525,-0.312542,3.158068
0.020000,53.403235,10.827557,0.238718,0.765374,1.177153,0.031387,3.159209
0.020000,53.387459,10.827269,0.254497,0.788929,1.177717,0.028219,3.160385
0.020000,53.371211,10.826954,0.270748,0.812544,1.180737,0.150990,3.161597
0.020000,53.354492,10.826609,0.287471,0.836145,1.180059,-0.033930,3.162845
0.020000,53.337302,10.826233,0.304665,0.859710,1.178253,-0.090262,3.164128
0.020000,53.319641,10.825823,0.322330,0.883281,1.178578,0.016226,3.165446
